,datadate,turbulence
901,2019-01-30,82.45735440931163
902,2019-01-31,92.13184430836374
903,2019-02-01,96.45293149627153
904,2019-02-04,96.17235186541264
905,2019-02-05,100.42392262497351
906,2019-02-06,106.17111836033038
907,2019-02-07,102.57580682027529
908,2019-02-08,96.23924833019367
909,2019-02-11,97.71078305459731
910,2019-02-12,98.57063337186028
911,2019-02-13,100.98513032384447
912,2019-02-14,147.21998038648812
913,2019-02-15,143.4885942043554
914,2019-02-19,140.24835320631394
915,2019-02-20,106.73044065817743
916,2019-02-21,89.05441398274608
917,2019-02-22,107.45567822532628
918,2019-02-25,97.81188895430952
919,2019-02-26,107.79437673060418
920,2019-02-27,131.02662587322436
921,2019-02-28,144.2509630069155
922,2019-03-01,130.05985226849353
923,2019-03-04,128.4105014690703
924,2019-03-05,104.83883581058207
925,2019-03-06,116.90032546909849
926,2019-03-07,110.65623771288598
927,2019-03-08,103.55798105628159
928,2019-03-11,97.2017858810689
929,2019-03-12,111.17246457148178
930,2019-03-13,102.34364919887807
931,2019-03-14,122.7325645828489
932,2019-03-15,113.12457458317854
933,2019-03-18,105.55952508120475
934,2019-03-19,78.6363597744322
935,2019-03-20,69.31552866379383
936,2019-03-21,88.47612982421123
937,2019-03-22,95.9895248075066
938,2019-03-25,92.49783355105144
939,2019-03-26,81.39961230155401
940,2019-03-27,78.09981321875902
941,2019-03-28,69.23679657276718
942,2019-03-29,66.42388878641277
943,2019-04-01,64.65372917381147
944,2019-04-02,78.2414843788831
945,2019-04-03,77.55640751649388
946,2019-04-04,74.50281980144582
947,2019-04-05,68.8494777612723
948,2019-04-08,82.41676580855452
949,2019-04-09,77.4290971954808
950,2019-04-10,74.99064188717561
951,2019-04-11,76.78070903873223
952,2019-04-12,149.77840448389847
953,2019-04-15,123.9071186592042
954,2019-04-16,128.7511734921833
955,2019-04-17,168.55593477595036
956,2019-04-18,133.41527826937886
957,2019-04-22,123.22433084272211
958,2019-04-23,110.9929795072381
959,2019-04-24,106.22058595271578
960,2019-04-25,211.14494132305816
961,2019-04-26,217.1201451757499
962,2019-04-29,187.49052384036213
963,2019-04-30,176.0319020021188
964,2019-05-01,152.0926109671954
965,2019-05-02,134.344617702661
966,2019-05-03,124.29473056267398
967,2019-05-06,125.16616343617406
968,2019-05-07,116.95673207158538
969,2019-05-08,115.64991024441663
