timestamp,close,open,high,low,volume
2020-09-03,345.3900,355.8700,356.3800,342.5900,148011129
2020-09-04,342.5700,346.1300,347.8300,334.8700,139156281
2020-09-08,333.2100,336.7100,342.6400,332.8800,114465322
2020-09-09,339.7900,337.5500,342.4600,336.6100,91462290
2020-09-10,333.8900,341.8200,342.5300,332.8500,90569548
2020-09-11,334.0600,335.8200,336.9700,331.0000,84680194
2020-09-14,338.4600,337.4900,340.3800,334.2208,65605686
2020-09-15,340.1700,341.1200,342.0200,338.4683,52920862
2020-09-16,338.8200,341.5100,343.0600,338.5200,82211256
2020-09-17,335.8400,333.5600,337.6996,332.9910,91523339
2020-09-18,330.6500,335.3700,335.4900,327.9700,105877942
2020-09-21,326.9700,325.7000,327.1300,321.7300,99450829
2020-09-22,330.3000,328.5700,330.9000,325.8600,63612107
2020-09-23,322.6400,330.9000,331.2000,322.1000,93112240
2020-09-24,323.5000,321.2200,326.7970,319.8000,76681332
2020-09-25,328.7300,322.5800,329.5800,321.6400,71069426
2020-09-28,334.1900,333.2200,334.9600,332.1500,64584614
2020-09-29,332.3700,333.9700,334.7700,331.6209,51531594
2020-09-30,334.8900,333.0900,338.2900,332.8800,104081136
2020-10-01,337.0400,337.6900,338.7400,335.0100,88698745
2020-10-02,333.8400,331.7000,337.0126,331.1900,89431112
2020-10-05,339.7600,336.0600,339.9600,336.0100,45713108
2020-10-06,334.9300,339.9100,342.1700,334.3800,90128883
2020-10-07,340.7600,338.1200,341.6300,338.0900,56999597
2020-10-08,343.7800,342.8500,343.8500,341.8600,45242476
2020-10-09,346.8500,345.5600,347.3500,344.8900,59528606
2020-10-12,352.4300,349.5900,354.0200,349.0600,80388533
2020-10-13,350.1300,352.2800,352.4651,349.0900,73255513
2020-10-14,347.9300,350.7500,351.9300,347.1400,57958749
2020-10-15,347.5000,343.7100,348.0200,343.1300,60357659
2020-10-16,347.2900,348.9600,350.7500,347.1000,89501868
2020-10-19,342.0100,348.6500,349.3300,341.0400,68425614
2020-10-20,343.3800,343.4600,346.8800,342.6400,60051880
2020-10-21,342.7300,343.3300,348.6847,342.4000,63574979
2020-10-22,344.6100,342.9600,345.2400,340.6500,55399292
2020-10-23,345.7800,345.9300,345.9900,343.1300,49143931
2020-10-26,339.3900,342.1300,342.9800,335.6200,91473002
2020-10-27,338.2200,339.7600,340.1200,337.9900,65994108
2020-10-28,326.6600,332.1000,338.2483,326.1300,127094307
2020-10-29,329.9800,326.9100,333.3950,325.0900,90597689
2020-10-30,326.5400,328.2800,329.6900,322.6000,120448685
2020-11-02,330.2000,330.2000,332.3600,327.2400,86068299
2020-11-03,336.0300,333.6900,338.2500,330.2935,93294192
2020-11-04,343.5400,340.8600,347.9400,339.5900,126959700
2020-11-05,350.2400,349.2400,352.1900,348.8600,82039749
2020-11-06,350.1600,349.9300,351.5100,347.6500,74972973
2020-11-09,354.5600,363.9700,364.3800,354.0600,172304203
2020-11-10,354.0400,353.4900,355.1800,350.5100,85552022
2020-11-11,356.6700,356.4000,357.5600,355.0600,58649048
2020-11-12,353.2100,355.5800,356.7182,351.2600,68118563
2020-11-13,358.1000,355.2700,358.9000,354.7100,62959429
2020-11-16,362.5700,360.9800,362.7800,359.5900,74541138
2020-11-17,360.6200,359.9700,361.9200,358.3400,66111009
2020-11-18,356.2800,360.9100,361.5000,356.2400,70591299
2020-11-19,357.7800,355.6000,358.1800,354.1500,59940947
2020-11-20,355.3300,357.5000,357.7200,355.2500,70411890
2020-11-23,357.4600,357.2800,358.8200,354.8650,63230608
2020-11-24,363.2200,360.2100,363.8100,359.2900,60985003
2020-11-25,362.6600,363.1300,363.1600,361.4800,45330890
2020-11-27,363.6700,363.8400,364.1800,362.5800,28514072
2020-11-30,362.0600,362.8300,363.1200,359.1700,83872709
2020-12-01,366.0200,365.5700,367.6800,364.9300,72509670
2020-12-02,366.7900,364.8200,366.9600,364.2000,45927000
2020-12-03,366.6900,366.6800,368.1900,365.5000,62881998
2020-12-04,369.8500,367.3200,369.8500,367.2200,50749859
2020-12-07,369.0900,369.0200,369.6200,367.7200,48944269
2020-12-08,370.1700,367.7200,370.7800,367.6700,42458859
2020-12-09,366.8500,370.8800,371.0500,365.9500,74098312
2020-12-10,366.7300,365.3700,367.8600,364.4300,57735353
2020-12-11,366.3000,364.9000,366.7402,363.2600,57698614
2020-12-14,364.6600,368.6400,369.8000,364.4700,69216174
2020-12-15,369.5900,367.4000,369.5900,365.9200,64071099
2020-12-16,370.1700,369.8200,371.1600,368.8676,58420517
2020-12-17,372.2400,371.9400,372.4600,371.0500,64119472
2020-12-18,369.1800,370.9700,371.1500,367.0200,136542328
2020-12-21,367.8600,364.9700,378.4600,362.0300,96386745
2020-12-22,367.2400,368.2100,368.3317,366.0300,48388462
2020-12-23,367.5700,368.2800,369.6200,367.2172,46201402
2020-12-24,369.0000,368.0800,369.0300,367.4500,26457853
2020-12-28,372.1700,371.7400,372.5900,371.0700,37932709
2020-12-29,371.4600,373.8100,374.0000,370.8300,53680451
2020-12-30,371.9900,372.3400,373.1000,371.5700,49455259
2020-12-31,373.8800,371.7800,374.6600,371.2320,78520702
2021-01-04,368.7900,375.3100,375.4500,364.8200,110210810
2021-01-05,371.3300,368.1000,372.5000,368.0500,66426229
